CDCN,Campus Name,CDN,Charter,Site Street Address,Site City,Site Zip5,Address,Enrollment,Grade,Latitude,Longitude,Phone,Website,ObjectId,x,y
057805101,LUMIN LINDSLEY PARK COMMUNITY SCHOOL,057805,LUMIN EDUCATION,7130 LINDSLEY AVE,DALLAS,"75,223","7130 LINDSLEY AVE, DALLAS, TX 75223",250,PK KG 01 02 03,32.81,-96.74,(214) 321-9155,lumineducation.org,200,-10768859.843547858,3869851.2457439345
227826101,MAGNOLIA MONTESSORI FOR ALL,227826,MONTESSORI FOR ALL,5100 PECAN BROOK DR,AUSTIN,"78,724","5100 PECAN BROOK DR, AUSTIN, TX 78724",470,EE PK KG 01 02 03 04 05 06 07 08,30.32,-97.66,(512) 522-2429,magnolia.montessoriforall.org,201,-10871433.118909987,3544482.0660558715
221801062,MAINLAND PREPARATORY ACADEMY,221801,TEXAS COLLEGE PREPARATORY ACADEMIES,319 NEWMAN RD,LA MARQUE,"77,568","319 NEWMAN RD, LA MARQUE, TX 77568",360,PK KG 01 02 03 04 05 06 07 08 09 10 11 12,29.37,-95.00,(409) 934-9100,www.responsiveed.com,202,-10575455.379579186,3423349.721922154
057844101,MANARA ACADEMY,057844,MANARA ACADEMY,8201 TRISTAR DR,IRVING,"75,063","8201 TRISTAR DR, IRVING, TX 75063",194,PK KG 01 02 03 04 05 06,32.92,-97.01,(972) 304-1155,www.manaraacademy.org,203,-10798599.691541413,3884152.0304617835
057844001,MANARA LEADERSHIP ACADEMY,057844,MANARA ACADEMY,8201 TRISTAR DR,IRVING,"75,063","8201 TRISTAR DR, IRVING, TX 75063",144,07 08 09 10 11 12,32.92,-97.01,(972) 304-1155 ext: 406,www.manaraacademy.org,204,-10798611.747442264,3884608.4198548687
057844102,MANARA STEM ACADEMY - ARLINGTON,057844,MANARA ACADEMY,6101 S COLLINS ST,ARLINGTON,"76,018","6101 S COLLINS ST, ARLINGTON, TX 76018",203,PK KG 01 02 03 04 05 06 07 08,32.65,-97.09,(972) 304-1155,www.manaraacademy.org,205,-10807628.370161692,3848416.842940302
057814003,MEDLOCK YOUTH VILLAGE,057814,ACADEMY FOR ACADEMIC EXCELLENCE,1508 E LANGDON RD,DALLAS,"75,241","1508 E LANGDON RD, DALLAS, TX 75241",79,03 04 05 06 07 08 09 10 11 12,32.67,-96.70,(972) 225-9735,www.dallascounty.org/departments/juvenile/aae.php,206,-10765021.363828147,3851627.135287613
246801001,MERIDIAN WORLD SCHOOL LLC,246801,MERIDIAN WORLD SCHOOL LLC,2555 N IH-35,ROUND ROCK,"78,664","2555 N IH-35, ROUND ROCK, TX 78664","1,684",KG 01 02 03 04 05 06 07 08 09 10 11 12,30.54,-97.69,(512) 660-5230,www.mwschool.org,207,-10874875.750973217,3572835.5930905733
227806025,METHODIST CHILDREN'S HOME,227806,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,1111 HERRING AVE,WACO,"76,708","1111 HERRING AVE, WACO, TX 76708",85,06 07 08 09 10 11 12,31.57,-97.15,(254) 715-0208,www.utcharter.org,208,-10815001.672294127,3707568.4464729386
101855101,MEYERPARK EL,101855,MEYERPARK ELEMENTARY,13663 S MAIN ST,HOUSTON,"77,035","13663 S MAIN ST, HOUSTON, TX 77035",272,PK KG 01 02 03 04 05,29.64,-95.49,(713) 729-9712,www.meyerparkcharter.org,209,-10629346.523207506,3457219.5362278232
165802101,MIDLAND ACADEMY CHARTER SCHOOL,165802,MIDLAND ACADEMY CHARTER SCHOOL,500 N BAIRD ST,MIDLAND,"79,701","500 N BAIRD ST, MIDLAND, TX 79701",363,PK KG 01 02 03 04 05 06 07 08,32.00,-102.07,(432) 686-0003,www.macharter.org,210,-11362670.857820913,3763604.1404696694
227806049,MUNDAY,227806,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,4800 MANOR RD,AUSTIN,"78,723","4800 MANOR RD, AUSTIN, TX 78723",7,06 07 08 09 10 11 12,30.30,-97.69,(512) 997-8872,www.utcharter.org,211,-10874675.256777935,3541582.5725145973
101853104,NCI CHARTER SCHOOL WITHOUT WALLS,101853,PROMISE COMMUNITY SCHOOL,6565 ROOKIN ST,HOUSTON,"77,074","6565 ROOKIN ST, HOUSTON, TX 77074",859,PK KG 01 02,29.71,-95.50,(713) 273-3250,www.bakerripley.org/services/promise-community-school-at-ripley-house-middle-school,212,-10630653.308275905,3466088.346218216
015807005,NEW DIRECTIONS,015807,SOUTHWEST PREPARATORY SCHOOL,1258 AUSTIN HWY BLDG 2,SAN ANTONIO,"78,209","1258 AUSTIN HWY BLDG 2, SAN ANTONIO, TX 78209",66,06 07 08 09 10 11 12,29.49,-98.44,(210) 829-8017,www.swprep.org,213,-10958608.991773775,3437905.97732686
014804002,NEW HORIZONS,014804,ORENDA CHARTER SCHOOL,850 FM 574 W,GOLDTHWAITE,"76,844","850 FM 574 W, GOLDTHWAITE, TX 76844",64,KG 01 02 03 04 05 06 07 08 09 10 11 12,31.45,-98.70,(325) 938-5513,www.orendaeducation.org,214,-10987752.777327484,3691940.1758752456
101853108,NEW NEIGHBOR CAMPUS,101853,PROMISE COMMUNITY SCHOOL,6959 COOK RD,HOUSTON,"77,402","6959 COOK RD, HOUSTON, TX 77402",33,PK KG 01 02 03 04 05,29.71,-95.50,(713) 273-3731,www.bakerripley.org/services/promise-community-school-at-ripley-house-middle-school,215,-10630655.42334623,3466279.8267562925
220817004,NEWMAN INTERNATIONAL ACADEMY AT FORT WORTH,220817,NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,6801 MEADOWBROOK DR,FORT WORTH,"76,112","6801 MEADOWBROOK DR, FORT WORTH, TX 76112",256,PK KG 01 02 03 04 05,32.75,-97.21,(817) 655-2255,niafw.newmanacademy.org,216,-10821690.067901123,3861641.232549539
220817006,NEWMAN INTERNATIONAL ACADEMY AT PIONEER,220817,NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,1619 W PIONEER PKWY,ARLINGTON,"76,013","1619 W PIONEER PKWY, ARLINGTON, TX 76013",90,06,32.71,-97.13,(682) 331-7095,niaa.newmanacademy.org,217,-10812770.040443443,3856775.866392376
220817007,NEWMAN INTERNATIONAL ACADEMY MANSFIELD EAST,220817,NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,7000 Matlock Road,Arlington,"76,002","7000 Matlock Road, Arlington, TX 76002",180,EE 07 08 09 10 11 12,32.63,-97.12,(682) 220-9131,niame.newmanacademy.org,218,-10810925.041221788,3846301.7479750747
220817001,NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,220817,NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,2011 S FIELDER RD,ARLINGTON,"76,013","2011 S FIELDER RD, ARLINGTON, TX 76013",670,EE PK KG 01 02 03 04,32.71,-97.13,(682) 207-5175,niaa.newmanacademy.org,219,-10812677.491645185,3856860.6465449836
220817003,NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON GIBBINS,220817,NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,1111 GIBBINS RD,ARLINGTON,"76,010","1111 GIBBINS RD, ARLINGTON, TX 76010",473,07 08 09 10 11 12,32.75,-97.11,(682) 207-5265,niag.newmanacademy.org,220,-10810295.340258218,3862413.80172381
003801103,SARAH STRINDEN EL,003801,PINEYWOODS COMMUNITY ACADEMY,602 S RAGUET ST,LUFKIN,"75,904","602 S RAGUET ST, LUFKIN, TX 75904",503,PK KG 01 02 03 04 05,31.33,-94.73,(936) 634-5515,pcacharter.net,221,-10545495.071126483,3676037.3559765774
015827002,SCHOOL OF SCIENCE AND TECHNOLOGY - ALAMO,015827,SCHOOL OF SCIENCE AND TECHNOLOGY,11214 N WEIDNER RD,SAN ANTONIO,"78,233","11214 N WEIDNER RD, SAN ANTONIO, TX 78233",782,PK KG 01 02 03 04 05 06 07 08,29.55,-98.37,(210) 657-6400,www.sstalamo.org,223,-10950152.376224315,3445986.5669751456
015831003,SCHOOL OF SCIENCE AND TECHNOLOGY ADVANCEMENT,015831,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,12801 BRANT ROCK DR,HOUSTON,"77,082","12801 BRANT ROCK DR, HOUSTON, TX 77082",695,PK KG 01 02 03 04 05 06 07 08,29.71,-95.61,(832) 288-2523,www.sstdiscovery.org,224,-10643260.266211726,3466908.2720601372
015827006,SCHOOL OF SCIENCE AND TECHNOLOGY CHAMPIONS,015827,SCHOOL OF SCIENCE AND TECHNOLOGY,15015 T C JESTER BLVD,HOUSTON,"77,068","15015 T C JESTER BLVD, HOUSTON, TX 77068",672,PK KG 01 02 03 04 05 06 07 08 09 10 11 12,30.00,-95.49,(210) 957-1955,www.sstalamo.org,225,-10629622.214832017,3503927.231657432
015831002,SCHOOL OF SCIENCE AND TECHNOLOGY CORPUS CHRISTI,015831,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,6633 EVANS RD,CORPUS CHRISTI,"78,413","6633 EVANS RD, CORPUS CHRISTI, TX 78413","2,052",PK KG 01 02 03 04 05 06 07 08 09 10 11 12,27.70,-97.42,(361) 225-0044,www.sstdiscovery.org,226,-10844812.268276861,3211064.822039215
015831001,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,015831,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,5707 BANDERA RD,SAN ANTONIO,"78,238","5707 BANDERA RD, SAN ANTONIO, TX 78238",560,PK KG 01 02 03 04 05 06 07 08,29.48,-98.60,(210) 543-1111,www.sstdiscovery.org,227,-10975759.095164366,3437205.053112403
015827004,SCHOOL OF SCIENCE AND TECHNOLOGY EXCELLENCE,015827,SCHOOL OF SCIENCE AND TECHNOLOGY,330 N SAM HOUSTON PKWY E,HOUSTON,"77,060","330 N SAM HOUSTON PKWY E, HOUSTON, TX 77060",517,PK KG 01 02 03 04 05 06 07 08 09 10 11 12,29.94,-95.40,(832) 672-6671,www.sstalamo.org,228,-10619917.24804127,3495791.4223357486
015831006,SCHOOL OF SCIENCE AND TECHNOLOGY HILL COUNTRY,015831,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,9202 W LOOP 1604 N,SAN ANTONIO,"78,254","9202 W LOOP 1604 N, SAN ANTONIO, TX 78254",501,PK KG 01 02 03 04 05 06 07 08 09 10 11 12,29.50,-98.73,(210) 688-9758,www.sstdiscovery.org,229,-10990856.351372462,3440045.571699561
015827003,SCHOOL OF SCIENCE AND TECHNOLOGY HOUSTON,015827,SCHOOL OF SCIENCE AND TECHNOLOGY,16200 TX 249,HOUSTON,"77,086","16200 TX 249, HOUSTON, TX 77086",515,PK KG 01 02 03 04 05 06 07 08,29.94,-95.52,(281) 475-8060,www.sstalamo.org,230,-10633709.810874201,3496322.2484985483
015831004,SCHOOL OF SCIENCE AND TECHNOLOGY NORTHWEST,015831,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,12042 CULEBRA RD,SAN ANTONIO,"78,253","12042 CULEBRA RD, SAN ANTONIO, TX 78253",703,PK KG 01 02 03 04 05 06 07 08 09 10 11 12,29.50,-98.73,(210) 688-9990,www.sstdiscovery.org,231,-10990856.351372462,3440045.571699561
015827007,SCHOOL OF SCIENCE AND TECHNOLOGY SCHERTZ,015827,SCHOOL OF SCIENCE AND TECHNOLOGY,908 FAIRLAWN AVE,Schertz,"78,108","908 FAIRLAWN AVE, Schertz, TX 78108",229,PK KG 01 02 03 04 05 06 07 08 09 10 11 12,29.62,-98.24,(210) 957-1955,www.ssttx.org,232,-10936533.804642301,3455054.0745730447
015827005,SCHOOL OF SCIENCE AND TECHNOLOGY SPRING,015827,SCHOOL OF SCIENCE AND TECHNOLOGY,2105 LOUETTA RD,SPRING,"77,388","2105 LOUETTA RD, SPRING, TX 77388",807,PK KG 01 02 03 04 05 06 07 08 09 10 11 12,30.02,-95.53,(210) 957-1955,www.sstalamo.org,233,-10634898.052930046,3506081.9669724237
015831005,SCHOOL OF SCIENCE AND TECHNOLOGY SUGARLAND,015831,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,10007 CLODINE RD,RICHMOND,"77,407","10007 CLODINE RD, RICHMOND, TX 77407",777,PK KG 01 02 03 04 05 06 07 08 09 10 11 12,29.67,-95.68,(281) 277-7923,www.sstdiscovery.org,234,-10651003.767989967,3460988.457895765
178808101,SEASHORE LEARNING CENTER,178808,SEASHORE CHARTER SCHOOLS,15801 S PADRE ISLAND DR,CORPUS CHRISTI,"78,418","15801 S PADRE ISLAND DR, CORPUS CHRISTI, TX 78418",275,KG 01 02 03 04,27.59,-97.22,(361) 949-1222,seashorecharterschools.com,235,-10822959.568732468,3197121.4592834823
178808041,SEASHORE MIDDLE ACAD,178808,SEASHORE CHARTER SCHOOLS,15437 S PADRE ISLAND DR,CORPUS CHRISTI,"78,418","15437 S PADRE ISLAND DR, CORPUS CHRISTI, TX 78418",220,05 06 07 08,27.59,-97.22,(361) 654-1134,seashorecharterschools.com,236,-10822959.568732468,3197121.4592834823
015807102,SEGUIN EL,015807,SOUTHWEST PREPARATORY SCHOOL,2400 WALNUT,SEGUIN,"78,155","2400 WALNUT, SEGUIN, TX 78155",246,PK KG 01 02 03 04 05 06 07 08 09 10 11 12,29.58,-97.92,(830) 549-5930,www.swprep.org,237,-10900824.324277129,3449252.646406247
101802101,SER-NINOS CHARTER EL,101802,SER-NINOS CHARTER SCHOOL,5815 ALDER DR,HOUSTON,"77,081","5815 ALDER DR, HOUSTON, TX 77081",482,PK KG 01 02 03 04 05,29.72,-95.48,(713) 667-6145,www.serninos.org,238,-10628851.5622424,3467363.3039709553
101802102,SER-NINOS CHARTER EL II,101802,SER-NINOS CHARTER SCHOOL,5919 DASHWOOD DR,HOUSTON,"77,081","5919 DASHWOOD DR, HOUSTON, TX 77081",270,PK KG 01 02 03 04 05,29.71,-95.49,(713) 432-9400,www.serninos.org,239,-10629431.301905306,3465911.8636668692
101802041,SER-NINOS CHARTER MIDDLE,101802,SER-NINOS CHARTER SCHOOL,5610 GULFTON ST,HOUSTON,"77,081","5610 GULFTON ST, HOUSTON, TX 77081",257,06 07 08,29.72,-95.48,(713) 592-6055,www.serninos.org,240,-10628636.223593019,3467165.945813741
227806046,SETON HOME,227806,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,1115 MISSION RD,SAN ANTONIO,"78,210","1115 MISSION RD, SAN ANTONIO, TX 78210",Less than 5,PK KG 01 02 03 04 05 06 07 08 09 10 11 12,29.39,-98.49,(210) 834-4127,www.utcharter.org,241,-10963918.135550255,3425127.216570467
227806005,SETTLEMENT HOME,227806,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,1600 PAYTON GIN RD,AUSTIN,"78,758","1600 PAYTON GIN RD, AUSTIN, TX 78758",23,06 07 08 09 10 11 12,30.36,-97.71,(512) 751-4534,www.utcharter.org,242,-10877484.982989453,3550436.8321910226
227806052,SJRC TEXAS,227806,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,1400 RIDGE CREEK LN,BULVERDE,"78,163","1400 RIDGE CREEK LN, BULVERDE, TX 78163",16,KG 01 02 03 04 05 06 07 08 09 10 11 12,29.77,-98.35,(512) 560-8132,www.utcharter.org,243,-10948114.847716946,3474659.315103953
101845102,SOUTHEAST EL,101845,YES PREP PUBLIC SCHOOLS INC,507 CRENSHAW RD,HOUSTON,"77,034","507 CRENSHAW RD, HOUSTON, TX 77034",459,EE PK KG 01 02 03 04 05,29.64,-95.21,(713) 842-5555,www.yesprep.org,244,-10598378.062031578,3457160.862911453
101845105,SOUTHSIDE EL,101845,YES PREP PUBLIC SCHOOLS INC,"5515 S LOOP E, STE B",Houston,"77,050","5515 S LOOP E, STE B, Houston, TX 77050",265,EE PK KG 01 02 03 04 05,29.69,-95.34,(713) 924-5300,www.yesprep.org,245,-10612782.58261444,3463573.092148298
015807101,SOUTHWEST PREP NORTHWEST EL,015807,SOUTHWEST PREPARATORY SCHOOL,6535 CULEBRA RD,SAN ANTONIO,"78,238","6535 CULEBRA RD, SAN ANTONIO, TX 78238",89,PK KG 01 02 03 04 05,29.45,-98.62,(210) 432-2634,www.swprep.org,246,-10978301.387431206,3433279.5933801536
015807001,SOUTHWEST PREPARATORY SCHOOL,015807,SOUTHWEST PREPARATORY SCHOOL,1258 AUSTIN HWY,SAN ANTONIO,"78,209","1258 AUSTIN HWY, SAN ANTONIO, TX 78209",66,PK KG 01 02 03 04 05,29.49,-98.44,(210) 829-8017 ext: 2,www.swprep.org,247,-10958608.991773775,3437905.97732686
015807004,SOUTHWEST PREPARATORY SCHOOL-NORTHWEST,015807,SOUTHWEST PREPARATORY SCHOOL,6535 CULEBRA RD,SAN ANTONIO,"78,238","6535 CULEBRA RD, SAN ANTONIO, TX 78238",146,06 07 08 09 10 11 12,29.45,-98.62,(210) 432-2634,www.swprep.org,248,-10978065.913312329,3433294.844745663
015807002,SOUTHWEST PREPARATORY SOUTHEAST CAMPUS,015807,SOUTHWEST PREPARATORY SCHOOL,735 S WW WHITE RD,SAN ANTONIO,"78,220","735 S WW WHITE RD, SAN ANTONIO, TX 78220",182,PK KG 01 02 03 04 05 06 07 08 09 10 11 12,29.42,-98.41,(210) 333-1403,www.swprep.org,249,-10954460.062031748,3429109.765280285
101838102,SOUTHWEST SCHOOLS BISSONNET EL CAMPUS,101838,SOUTHWEST SCHOOL,8440 BISSONNET ST,HOUSTON,"77,074","8440 BISSONNET ST, HOUSTON, TX 77074",437,EE PK KG 01 02 03 04 05,29.68,-95.53,(713) 988-5839,www.swschools.org,250,-10633983.695783373,3462204.342585546
101838104,SOUTHWEST SCHOOLS MANGUM EL CAMPUS,101838,SOUTHWEST SCHOOL,4515 MANGUM RD,HOUSTON,"77,092","4515 MANGUM RD, HOUSTON, TX 77092",363,EE PK KG 01 02 03 04 05,29.83,-95.46,(713) 688-0505,www.swschools.org,251,-10626845.58835789,3482261.699931831
057836101,ST ANTHONY ACADEMY,057836,ST ANTHONY SCHOOL,3732 MYRTLE ST,DALLAS,"75,215","3732 MYRTLE ST, DALLAS, TX 75215",208,KG 01 02 03 04 05,32.76,-96.76,(214) 421-3645,www.stanthonydallas.org,252,-10771451.011750326,3863762.2610353115
057836041,ST ANTHONY SCHOOL,057836,ST ANTHONY SCHOOL,3732 MYRTLE ST,DALLAS,"75,215","3732 MYRTLE ST, DALLAS, TX 75215",108,06 07 08,32.76,-96.76,(214) 421-3645,www.stanthonydallas.org,253,-10771451.011750326,3863762.2610353115
013801101,ST MARY'S ACADEMY CHARTER SCHOOL,013801,ST MARY'S ACADEMY CHARTER SCHOOL,410 N TYLER ST,BEEVILLE,"78,102","410 N TYLER ST, BEEVILLE, TX 78102",401,KG 01 02 03 04 05 06 07 08,28.41,-97.74,(361) 358-5601 ext: 1080,www.smacs.net,254,-10880879.887934202,3300385.430965096
101859101,STEP CHARTER EL,101859,STEP CHARTER SCHOOL,11250 S WILCREST DR,HOUSTON,"77,099","11250 S WILCREST DR, HOUSTON, TX 77099",287,KG 01 02 03 04 05 06 07 08,29.66,-95.57,(281) 988-7797,www.stepcharter.org,255,-10638881.183422485,3459543.647684516
101859102,STEP CHARTER II,101859,STEP CHARTER SCHOOL,8282 BISSONNET ST,HOUSTON,"77,074","8282 BISSONNET ST, HOUSTON, TX 77074",271,KG 01 02 03 04 05 06 07 08,29.68,-95.53,(281) 988-7797,www.stepcharter.org,256,-10633845.564993223,3462394.252171628
174801101,STEPHEN F AUSTIN STATE UNIVERSITY CHARTER SCHOOL,174801,STEPHEN F AUSTIN STATE UNIVERSITY CHARTER SCHOOL,2428 RAGUET ST,NACOGDOCHES,"75,965","2428 RAGUET ST, NACOGDOCHES, TX 75965",256,KG 01 02 03 04 05,31.63,-94.65,(936) 468-5899,www.sfasu.edu/charter_school,257,-10536170.818107445,3714403.0695020976
130801003,STEPPING STONES ACADEMY,130801,MEADOWLAND CHARTER DISTRICT,3103 W AVE,SAN ANTONIO,"78,213","3103 W AVE, SAN ANTONIO, TX 78213",6,01 02 03 04 05 06 07 08 09 10 11 12,29.52,-98.53,(830) 331-4094,www.mlcs.org,258,-10967975.469388865,3441399.3500842624
123803041,TEKOA ACADEMY OF ACCELERATED STUDIES,123803,TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL,326 THOMAS BLVD,PORT ARTHUR,"77,640","326 THOMAS BLVD, PORT ARTHUR, TX 77640",47,06 07 08,29.88,-93.94,(409) 982-5400,www.tekoacharterschool.org,259,-10457689.503978295,3487548.7939609084
123803001,TEKOA ACADEMY OF ACCELERATED STUDIES,123803,TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL,327 THOMAS BLVD,PORT ARTHUR,"77,640","327 THOMAS BLVD, PORT ARTHUR, TX 77640",72,09 10 11 12,29.88,-93.94,(409) 982-5400,www.tekoacharterschool.org,260,-10457741.75846047,3487537.863705735
123803101,TEKOA ACADEMY OF ACCELERATED STUDIES,123803,TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL,3700 PROCTOR,PORT ARTHUR,"77,642","3700 PROCTOR, PORT ARTHUR, TX 77642",179,PK KG 01 02 03 04 05,29.92,-93.97,(409) 982-5400,www.tekoacharterschool.org,261,-10461119.304243824,3492856.6408224595
123803103,TEKOA ACADEMY OF ACCELERATED STUDIES - ORANGE,123803,TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL,1704 14TH ST,ORANGE,"77,630","1704 14TH ST, ORANGE, TX 77630",70,PK KG 01 02 03 04 05 06,30.11,-93.74,(409) 982-5400,www.tekoacharterschool.org,262,-10435621.919968046,3517425.200194729
014803101,TEMPLE CHARTER ACADEMY,014803,PRIORITY CHARTER SCHOOLS,7177 AIRPORT RD,TEMPLE,"76,502","7177 AIRPORT RD, TEMPLE, TX 76502",310,PK KG 01 02 03 04 05 06 07 08 09 10 11 12,31.14,-97.41,(254) 778-8682,prioritycharterschools.org,263,-10843681.444814365,3650832.8813952953
057804006,TEXANS CAN ACADEMY - AUSTIN,057804,TEXANS CAN ACADEMIES,2406 ROSEWOOD AVE,AUSTIN,"78,702","2406 ROSEWOOD AVE, AUSTIN, TX 78702",344,09 10 11 12,30.27,-97.71,(512) 477-4226,www.texanscan.org,264,-10876923.471893165,3538557.85745423
057804003,TEXANS CAN ACADEMY - CARROLLTON-FARMERS BRANCH,057804,TEXANS CAN ACADEMIES,2720 HOLLANDALE LN,FARMERS BRANCH,"75,234","2720 HOLLANDALE LN, FARMERS BRANCH, TX 75234",373,EE PK KG 09 10 11 12,32.94,-96.89,(972) 243-2178,www.texanscan.org,265,-10785652.232886737,3887759.24673863
057804001,TEXANS CAN ACADEMY - DALLAS NORTH,057804,TEXANS CAN ACADEMIES,9704 SKILLMAN,DALLAS,"75,243","9704 SKILLMAN, DALLAS, TX 75243",302,EE PK KG 09 10 11 12,32.91,-96.71,(214) 824-4226,www.texanscan.org,266,-10765244.199845232,3883188.2446566746
057804008,TEXANS CAN ACADEMY - FORT WORTH LANCASTER AVENUE,057804,TEXANS CAN ACADEMIES,1316 LANCASTER AVE,FORT WORTH,"76,114","1316 LANCASTER AVE, FORT WORTH, TX 76114",475,EE PK KG 09 10 11 12,32.75,-97.32,(817) 735-1515,www.texanscan.org,267,-10833134.114531226,3861656.111748165
057804007,TEXANS CAN ACADEMY - FORT WORTH WESTCREEK,057804,TEXANS CAN ACADEMIES,6620 WESTCREEK DR,FORT WORTH,"76,133","6620 WESTCREEK DR, FORT WORTH, TX 76133",350,09 10 11 12,32.65,-97.36,(817) 531-3223,www.texanscan.org,268,-10838348.24378273,3848508.2342587383
057804013,TEXANS CAN ACADEMY - GARLAND,057804,TEXANS CAN ACADEMIES,2266 ARAPAHO RD,GARLAND,"75,044","2266 ARAPAHO RD, GARLAND, TX 75044",233,09 10 11 12,32.96,-96.66,(972) 441-7202,www.texanscan.org,269,-10760634.936178904,3889705.258019756
057804005,TEXANS CAN ACADEMY - GRANT EAST,057804,TEXANS CAN ACADEMIES,2901 MORGAN DR,DALLAS,"75,241","2901 MORGAN DR, DALLAS, TX 75241",312,EE PK KG 09 10 11 12,32.65,-96.77,(214) 944-1985,www.texanscan.org,270,-10772903.44390089,3849393.724053884
057804010,TEXANS CAN ACADEMY - HOUSTON HOBBY,057804,TEXANS CAN ACADEMIES,9020 GULF FWY,HOUSTON,"77,017","9020 GULF FWY, HOUSTON, TX 77017",359,09 10 11 12,29.66,-95.26,(832) 379-4226,www.texanscan.org,271,-10604233.589698745,3459675.3290567445
057804009,TEXANS CAN ACADEMY - HOUSTON NORTH,057804,TEXANS CAN ACADEMIES,3401 HARDY ST,HOUSTON,"77,009","3401 HARDY ST, HOUSTON, TX 77009",376,09 10 11 12,29.79,-95.35,(713) 659-4226,www.texanscan.org,272,-10614606.551357893,3476824.8854405596
057804012,TEXANS CAN ACADEMY - HOUSTON SOUTHWEST,057804,TEXANS CAN ACADEMIES,10914 S GESSNER,HOUSTON,"77,071","10914 S GESSNER, HOUSTON, TX 77071",390,09 10 11 12,29.66,-95.53,(281) 918-4316,www.texanscan.org,273,-10634395.75044452,3459834.0094915833
057804002,TEXANS CAN ACADEMY - OAK CLIFF,057804,TEXANS CAN ACADEMIES,325 W 12TH ST,DALLAS,"75,208","325 W 12TH ST, DALLAS, TX 75208",576,09 10 11 12,32.74,-96.83,(214) 943-2244,www.texanscan.org,274,-10778800.40690892,3861017.5156029584
057804004,TEXANS CAN ACADEMY - PLEASANT GROVE,057804,TEXANS CAN ACADEMIES,1227 N MASTERS DR,DALLAS,"75,217","1227 N MASTERS DR, DALLAS, TX 75217",639,EE PK KG 09 10 11 12,32.73,-96.65,(972) 225-1194,www.texanscan.org,275,-10758924.701445999,3859765.120263922
057804011,TEXANS CAN ACADEMY - SAN ANTONIO,057804,TEXANS CAN ACADEMIES,1807 CENTENNIAL BLVD,SAN ANTONIO,"78,211","1807 CENTENNIAL BLVD, SAN ANTONIO, TX 78211",308,EE PK KG 09 10 11 12,29.38,-98.54,(210) 923-1226,www.texanscan.org,276,-10969067.354406675,3423669.4874658273
183801002,TEXAS EARLY COLLEGE H S,183801,PANOLA CHARTER SCHOOL,3714 E END BLVD S,MARSHALL,"75,672","3714 E END BLVD S, MARSHALL, TX 75672",111,08 09 10 11 12,32.51,-94.35,(903) 935-4109,www.panolaschools.net,277,-10503536.603240741,3830423.918976459
227805041,TEXAS EMPOWERMENT ACADEMY,227805,TEXAS EMPOWERMENT ACADEMY,6414 N HAMPTON DR,AUSTIN,"78,724","6414 N HAMPTON DR, AUSTIN, TX 78724",277,03 04 05 06 07 08 09 10 11 12,30.31,-97.68,(512) 494-1076,texasempowerment.org/,278,-10873844.139893698,3543986.4238970745
227805101,TEXAS EMPOWERMENT ACADEMY EL,227805,TEXAS EMPOWERMENT ACADEMY,6414 N HAMPTON,AUSTIN,"78,724","6414 N HAMPTON, AUSTIN, TX 78724",136,PK KG 01 02 03,30.27,-97.67,(512) 494-1076,texasempowerment.org/,279,-10872860.934981553,3538744.699128888
226801004,TEXAS LEADERSHIP OF ABILENE,226801,TEXAS LEADERSHIP PUBLIC SCHOOLS,1840 N 8TH ST,ABILENE,"79,603","1840 N 8TH ST, ABILENE, TX 79603",574,PK KG 01 02 03 04 05 06 07 08 09 10 11 12,32.46,-99.74,(325) 480-3500,www.texaslerdershipabilene.com,280,-11103516.745544864,3823632.0667172223
226801003,TEXAS LEADERSHIP OF ARLINGTON,226801,TEXAS LEADERSHIP PUBLIC SCHOOLS,2001 BROWN BLVD,ARLINGTON,"76,006","2001 BROWN BLVD, ARLINGTON, TX 76006",984,PK KG 01 02 03 04 05 06 07 08 09 10 11 12,32.77,-97.08,(817) 385-9338,www.texasleadershiparlington.com,281,-10806537.267719902,3865404.301211813
